Gemstone,Proposed_origin,Bibliography
Amethyst,Brazil,Cody 1991
Amethyst,South America,Rodriguez 1993 ; Murphy 1999
Amethyst,Martinique,Hofman 2007
Amethyst,Not Martinique,Queffelec et al. 2018
Aventurine,Brazil,Rodriguez 1993
Barityne,Antigua,Murphy 1999 ; Hofman et al. 2007
Calcite,"Guadeloupe, Antigua, St. Martin, Anguilla, Puerto Rico",Hofman et al. 2007
Carnelian,Dominican Republic,Cody 1993
Carnelian,South America or Greater Antilles,Crock & Bartone 1998
Carnelian,Unknown,Murphy 1999
Carnelian,Antigua,Murphy et al. 2000
Rock crystal,Antigua,Murphy 1999
Rock crystal,"Puerto Rico, St. Martin, Antigua, Martinique and other volcanic islands",Hofman et al. 2007
Diorite,St. Martin,Murphy 1999
Diorite,Tobago,Mones 2007
Malachite,"Puerto Rico, South America",Rodriguez 1993
Malachite,Unknown,Murphy 1999
Malachite,Antigua,Murphy 2000
Nephrite,Brazil,"Cody 1991, 1993"
Nephrite,South and Central America,Rodriguez 1993 ; Murphy 1999
Nephrite,South America,Hofman et al. 2007
Serpentine,Greater Antilles and Venezuela,Cody 1993
Serpentine,Puerto Rico,Rodriguez 1993
Serpentine,"Coastal Venezuela, Puerto Rico",Murphy 1999 ; Hofman et al. 2007
Sudoite,"Panama, Colombia, Hispaniola,  Cuba",Queffelec et al. 2021
Turquoise,Northern Chile and Eastern Brazil,Cody 1993
Turquoise,"Brazil, Peru, Others",Rodriguez 1993
Turquoise,South America,Murphy 1999 ; Hofman et al. 2007
