Gemstone,Barrel,Biconical,Cylindrical,Discoid,Faceted,Geometric,Planoconvex,Spherical,Zoomorphic
Amethyst,69,8,31,39,2,-,7,2,1
Anorthite,-,-,-,4,-,-,-,-,-
Aventurine,1,1,10,2,1,1,1,-,7
Barytine,-,-,2,-,-,-,-,-,-
Calcite,17,1,46,53,-,6,1,-,11
Carnelian,47,-,37,12,4,-,-,-,-
Chalcedony,2,-,-,-,-,-,-,-,-
Diorite,135,2,201,168,6,-,2,-,1
Jasper,2,-,-,-,-,-,-,-,-
Limestone,2,-,-,-,-,-,-,-,-
Malachite,-,-,1,1,-,2,2,-,1
Marble,1,-,3,-,-,-,-,-,-
Nephrite,1,-,3,5,-,23,5,1,42
Paragonite,-,-,-,6,-,-,1,-,7
Rock_crystal,36,8,74,78,2,2,9,-,4
Serpentine,2,1,4,20,-,4,1,1,717
Stalactite,1,-,1,-,-,-,-,-,-
Sudoite,-,1,-,4,-,-,-,-,2
Turquoise,15,-,7,135,1,10,29,-,4
