Type,Amethyst,Anorthite,Aventurine,Barytine,Calcite,Carnelian,Chalcedony,Diorite,Jasper,Limestone,Malachite,Marbre,Nephrite,Paragonite,Rock_crystal,Serpentine,Stalactite,Sudoite,Turquoise
Biconical,,,,,,,,,,,,,,,,,,,
Hacienda Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Hope Estate,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
La Hueca,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-
Morel,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Pearls,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-
Sorcé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Trants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Vivé,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cylindrical,,,,,,,,,,,,,,,,,,,
Anse à la Gourde,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Baie Orientale 2,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Cabo,-,-,-,-,3,-,-,15,-,-,-,-,-,-,-,-,-,-,-
El Carril,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-
El Flaco,-,-,-,-,15,-,-,7,-,-,-,-,-,-,-,-,-,-,-
Elliot's,1,-,-,1,-,-,-,4,-,-,-,-,-,-,1,1,-,-,-
Gare maritime,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2
Grand Bay,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Hacienda Grande,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
Hope Estate,1,-,-,-,7,1,-,5,-,-,-,-,-,-,5,-,-,-,-
La Hueca,1,-,1,-,1,1,-,1,-,-,-,1,-,-,2,1,-,-,1
Main Street,-,-,-,-,1,-,-,1,-,-,-,1,-,-,3,-,-,-,-
Morel,1,-,-,-,-,1,-,5,-,-,-,1,-,-,13,-,-,-,-
Pearls,21,-,-,-,1,22,-,139,-,-,-,-,3,-,23,-,-,-,3
Playa Grande,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Prosperity,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-
Sorcé,1,-,1,-,1,1,-,1,-,-,1,-,-,-,1,1,-,-,1
Trants,3,-,8,-,-,7,-,17,-,-,-,-,-,-,21,-,-,-,-
Vivé,-,-,-,1,1,2,-,-,-,-,-,-,-,-,2,-,-,-,-
Discoid,,,,,,,,,,,,,,,,,,,
Anse à la Gourde,-,1,-,-,6,-,-,3,-,-,-,-,-,-,-,-,-,-,1
Baie Orientale 2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Cabo,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-
El Flaco,-,-,-,-,32,-,-,6,-,-,-,-,-,-,-,-,-,-,-
Gare maritime,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,8,-,1,3
Grand Bay,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,-,-,-,-
Hope Estate,1,2,-,-,7,-,-,-,-,-,-,-,-,5,3,4,-,2,4
La Hueca,1,-,1,-,1,-,-,-,-,-,1,-,1,-,2,1,-,-,1
Main Street,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Morel,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pearls,37,-,-,-,3,12,-,143,-,-,-,-,4,-,58,7,-,-,119
Prosperity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Trants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-
Vivé,-,1,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,1,6
Faceted,,,,,,,,,,,,,,,,,,,
Trants,2,-,1,-,-,4,-,6,-,-,-,-,-,-,2,-,-,-,1
Geometric,,,,,,,,,,,,,,,,,,,
Anse à la Gourde,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gare maritime,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-
Grand Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Hope Estate,-,-,-,-,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-
La Hueca,-,-,1,-,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-
Pearls,-,-,-,-,-,-,-,-,-,-,-,-,21,-,1,-,-,-,9
Prosperity,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Trants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Planoconvex,,,,,,,,,,,,,,,,,,,
Gare maritime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Hope Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
La Hueca,-,-,1,-,1,-,-,-,-,-,1,-,1,-,-,1,-,-,1
Pearls,7,-,-,-,-,-,-,2,-,-,-,-,3,-,9,-,-,-,24
Sorcé,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1
Vivé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Spherical,,,,,,,,,,,,,,,,,,,
Morel,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pearls,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
Vivé,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barrel,,,,,,,,,,,,,,,,,,,
Anse à la Gourde,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-
El Flaco,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elliot's,1,-,-,-,-,2,1,1,-,2,-,-,-,-,-,-,-,-,-
Gare maritime,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-
Hacienda Grande,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Hope Estate,3,-,-,-,2,3,-,9,-,-,-,-,-,-,-,-,-,-,-
La Hueca,1,-,1,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-
Main Street,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Morel,6,-,-,-,1,1,-,4,-,-,-,-,-,-,-,-,1,-,-
Pearls,50,-,-,-,-,36,-,96,-,-,-,-,1,-,31,-,-,-,15
Prosperity,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sorcé,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
Trants,2,-,-,-,-,1,-,19,-,-,-,-,-,-,3,-,-,-,-
Vivé,1,-,-,-,-,1,1,2,1,-,-,-,-,-,-,-,-,-,-
Zoomorphic,,,,,,,,,,,,,,,,,,,
Doig's,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Elliot's,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Gare maritime,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1
Hope Estate,-,-,-,-,3,-,-,-,-,-,-,-,1,5,-,1,-,-,-
La Hueca,1,-,3,-,4,-,-,-,-,-,1,-,4,-,4,669,-,-,-
Main Street,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Morel,-,-,1,-,-,-,-,-,-,-,-,-,3,1,-,1,-,1,-
Pearls,-,-,-,-,2,-,-,1,-,-,-,-,23,-,-,-,-,-,3
Prosperity,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Punta Candelero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-
Sorcé,-,-,1,-,2,-,-,-,-,-,-,-,5,-,-,36,-,-,-
Tecla,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Trants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Vivé,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
