Site,Index,Longitude,Latitude,Subserie,Period,Bead,Pendant,Non-perforated plate,Bead-pendant,Earplug
Anse à la Gourde,GD-03,-61.213342,16.258598,Troumassan,Late Ceramic,22,1,0,0,0
Baie Orientale 2,SM-01,-63.020342,18.087671,Troumassan,Late Ceramic,14,0,0,0,0
Doig's,AN-04,-61.81173,17.016176,Cedrosan,Early Ceramic,42,1,0,0,0
El Cabo,HI-04,-68.45222,18.39787,Ostionan,Late-Final Ceramic,16,0,1,18,2
El Carril,HI-03,-71.071704,19.70544,Meillacan,Late-Final Ceramic,2,2,0,6,0
El Flaco,HI-01,-71.05105,19.7001,Ostionan,Late-Final Ceramic,68,1,0,22,0
Elliot's,AN-01,-61.738348,17.071831,Cedrosan,Middle Ceramic,32,14,0,0,0
Gare Maritime,GD-01,-61.733032,15.996632,Huecan,Early Ceramic,31,4,0,0,0
Golden Grove,TO-02,-60.805636,11.163897,Troumassan,Late Ceramic,49,0,0,0,0
Golden Rock,SE-01,-62.981587,17.490163,Cedrosan,Middle Ceramic,81,0,0,0,0
Grand Bay,CA-01,-61.432866,12.477269,Cedrosan,Middle-Late Ceramic,16,1,0,0,0
Hope Estate,SM-02,-63.040779,18.095434,Cedrosan/Huecan,Early Ceramic,82,19,0,0,1
Main Street,ST-02,-64.9359,18.3416,Cedrosan,Early Ceramic,11,1,0,0,0
Morel,GD-02,-61.331654,16.332459,Cedrosan,Early Ceramic,42,10,0,0,0
Pearls,GR-01,-61.615102,12.145259,Cedrosan,Early Ceramic,1137,175,0,1,0
Playa Grande,HI-05,-70.012628,19.677556,Ostionan,Final Ceramic,8,3,0,2,4
Prosperity,SC-01,-64.881883,17.726645,Cedrosan,Early Ceramic,19,5,0,0,0
Punta Candelero,PR-04,-65.789355,18.091867,Huecan,Early Ceramic,360,232,0,0,0
Royall's,AN-03,-61.818153,17.154506,Cedrosan,Middle Ceramic,73,8,0,0,0
Seaview,BA-01,-61.775599,17.676033,Cedrosan,Early Ceramic,18,0,0,0,0
Sorcé,VI-01,-65.490762,18.099322,Cedrosan,Early Ceramic,711,118,225,0,0
La Hueca,VI-02,-65.490762,18.099322,Huecan,Early Ceramic,1210,1633,34,0,0
Tecla,PR-03,-66.789443,18.019253,Huecan,Early Ceramic,49,10,13,0,0
Trants,MO-01,-62.162221,16.760155,Cedrosan,Early Ceramic,523,12,0,0,0
Vivé,MA-02,-61.082725,14.847667,Cedrosan,Early Ceramic,35,2,0,0,1
